Glycopeptide Proteoform Generator
Run Date and Time: 2024-12-19 13:38:41

Input Parameters:
Input File: human_proteoform_glycosylation_sites_gptwiki.csv
Limit: 10
Protein Column: protein
Glycosylation Site Column: glycosylation_site
Glycan Column: glycan

Proteoform Counts:
O00754-1: 4 proteoforms
O14672-1: 2 proteoforms
O43405-1: 2 proteoforms
O43852-1: 4 proteoforms
O75636-1: 4 proteoforms
O75882-1: 10 proteoforms
O95302-1: 6 proteoforms
O95445-1: 3 proteoforms
P00450-1: 10 proteoforms
P00734-1: 10 proteoforms
P00736-1: 2 proteoforms
P00738-1: 10 proteoforms
P00747-1: 3 proteoforms
P00748-1: 2 proteoforms
P00751-1: 10 proteoforms
P01008-1: 10 proteoforms
P01009-1: 10 proteoforms
P01011-1: 10 proteoforms
P01023-1: 10 proteoforms
P01024-1: 7 proteoforms
P01031-1: 2 proteoforms
P01033-1: 9 proteoforms
P01042-1: 10 proteoforms
P01591-1: 10 proteoforms
P01857-2: 10 proteoforms
P01859-2: 10 proteoforms
P01860-2: 2 proteoforms
P01861-2: 10 proteoforms
P01871-2: 10 proteoforms
P01876-2: 2 proteoforms
P01877-2: 10 proteoforms
P02675-1: 10 proteoforms
P02679-1: 10 proteoforms
P02745-1: 5 proteoforms
P02748-1: 4 proteoforms
P02749-1: 10 proteoforms
P02750-1: 10 proteoforms
P02751-15: 10 proteoforms
P02760-1: 2 proteoforms
P02763-1: 10 proteoforms
P02765-1: 10 proteoforms
P02787-1: 10 proteoforms
P02790-1: 10 proteoforms
P03951-1: 3 proteoforms
P03952-1: 10 proteoforms
P04003-1: 8 proteoforms
P04004-1: 10 proteoforms
P04114-1: 10 proteoforms
P04196-1: 10 proteoforms
P04217-1: 10 proteoforms
P04278-1: 2 proteoforms
P05090-1: 10 proteoforms
P05154-1: 3 proteoforms
P05155-1: 10 proteoforms
P05156-1: 10 proteoforms
P05160-1: 4 proteoforms
P05543-1: 4 proteoforms
P05546-1: 10 proteoforms
P06681-1: 4 proteoforms
P06756-1: 2 proteoforms
P07339-1: 2 proteoforms
P07357-1: 2 proteoforms
P07358-1: 2 proteoforms
P07602-1: 2 proteoforms
P08185-1: 4 proteoforms
P08603-1: 10 proteoforms
P09486-1: 2 proteoforms
P09871-1: 10 proteoforms
P0C0L5-1: 10 proteoforms
P10253-1: 3 proteoforms
P10909-1: 10 proteoforms
P11279-1: 10 proteoforms
P12259-1: 6 proteoforms
P13473-1: 10 proteoforms
P14625-1: 10 proteoforms
P15586-1: 8 proteoforms
P16870-1: 10 proteoforms
P19652-1: 8 proteoforms
P19823-1: 4 proteoforms
P19827-1: 10 proteoforms
P20851-1: 6 proteoforms
P23142-1: 3 proteoforms
P25311-1: 10 proteoforms
P26927-1: 4 proteoforms
P27169-1: 3 proteoforms
P27918-1: 2 proteoforms
P29622-1: 4 proteoforms
P35556-1: 2 proteoforms
P36955-1: 6 proteoforms
P43251-1: 9 proteoforms
P43307-1: 3 proteoforms
P43308-1: 10 proteoforms
P43652-1: 10 proteoforms
P46977-1: 3 proteoforms
P48723-1: 2 proteoforms
P48960-1: 2 proteoforms
P49908-1: 4 proteoforms
P51884-1: 4 proteoforms
P55058-1: 2 proteoforms
P80108-1: 10 proteoforms
Q03591-1: 2 proteoforms
Q08380-1: 10 proteoforms
Q08722-1: 4 proteoforms
Q12907-1: 3 proteoforms
Q14108-1: 3 proteoforms
Q14624-1: 10 proteoforms
Q15165-2: 4 proteoforms
Q15293-1: 8 proteoforms
Q16769-1: 3 proteoforms
Q5JTV8-1: 3 proteoforms
Q6ZXV5-1: 3 proteoforms
Q7Z4H8-1: 4 proteoforms
Q8IWU5-1: 10 proteoforms
Q8N766-1: 3 proteoforms
Q8NFQ8-1: 2 proteoforms
Q8NHP8-1: 2 proteoforms
Q8TC99-1: 5 proteoforms
Q8TCJ2-1: 4 proteoforms
Q8TEM1-1: 4 proteoforms
Q92542-1: 10 proteoforms
Q92626-1: 4 proteoforms
Q92820-1: 5 proteoforms
Q969N2-1: 3 proteoforms
Q96AY3-1: 10 proteoforms
Q96HE7-1: 5 proteoforms
Q96IY4-1: 2 proteoforms
Q96JJ7-1: 3 proteoforms
Q96KA5-1: 3 proteoforms
Q96PD5-1: 10 proteoforms
Q9BU23-1: 4 proteoforms
Q9BWF2-1: 3 proteoforms
Q9BYF1-1: 10 proteoforms
Q9H3G5-1: 10 proteoforms
Q9HDC9-1: 10 proteoforms
Q9NUM4-1: 3 proteoforms
Q9NYU2-1: 2 proteoforms
Q9UBV2-1: 8 proteoforms
Q9UGM5-1: 8 proteoforms
Q9UHG3-1: 10 proteoforms
Q9Y4L1-1: 10 proteoforms
